選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
猪本　健太郎,ソフトバンク,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2014
岸里　亮佑,日本ハム,0.667,1,3,3,2,0,1,0,0,0,1,0,0,0.667,0.667,1.333,8.53,7.83,2014
乙坂　智,DeNA,0.5,6,2,2,1,1,1,0,0,0,0,0,0,0.5,2.0,2.5,38.40,36.45,2014
加藤　健,巨人,0.4,6,12,10,4,0,1,0,2,0,4,0,0,0.5,0.4,0.9,9.98,9.50,2014
鈴木　尚広,巨人,0.35,69,25,20,7,0,1,11,5,0,4,0,0,0.48,0.35,0.83,10.02,9.61,2014
鈴木　誠也,広島,0.344,36,68,64,22,1,7,0,4,0,13,0,2,0.382,0.5,0.882,6.86,6.27,2014
マートン,阪神,0.338,142,591,532,180,14,84,2,46,7,64,0,19,0.394,0.477,0.872,6.59,6.33,2014
ロサリオ,広島,0.336,69,264,238,80,14,49,1,23,1,58,0,8,0.394,0.584,0.978,7.85,7.61,2014
安部　友裕,広島,0.333,3,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.667,4.55,4.32,2014
糸井　嘉男,オリックス,0.331,140,590,502,166,19,81,31,70,14,73,0,7,0.424,0.524,0.948,8.62,8.23,2014
銀次,楽天,0.327,117,509,459,150,4,70,1,43,2,45,1,10,0.384,0.41,0.793,5.86,5.62,2014
菊池　涼介,広島,0.325,144,654,579,188,11,58,23,24,3,79,43,9,0.352,0.456,0.808,5.46,5.22,2014
山田　哲人,ヤクルト,0.324,143,685,596,193,29,89,15,74,8,95,2,10,0.403,0.539,0.941,8.08,7.81,2014
隠善　智也,巨人,0.321,11,29,28,9,0,0,1,0,0,5,1,2,0.321,0.321,0.643,2.91,2.74,2014
アンダーソン,巨人,0.319,87,325,295,94,15,50,1,25,5,44,0,4,0.382,0.515,0.897,7.35,7.09,2014
大島　洋平,中日,0.318,141,642,585,186,2,28,28,43,6,56,6,3,0.369,0.366,0.735,5.40,5.20,2014
松山　竜平,広島,0.318,80,250,233,74,7,34,0,14,2,29,0,7,0.36,0.455,0.815,5.72,5.52,2014
柳田　悠岐,ソフトバンク,0.317,144,615,524,166,15,70,33,72,16,131,0,8,0.413,0.452,0.865,7.55,7.31,2014
ルナ,中日,0.317,127,527,467,148,17,73,8,51,5,98,0,11,0.387,0.501,0.888,7.12,6.88,2014
小窪　哲也,広島,0.317,78,182,161,51,3,30,1,12,2,15,4,1,0.365,0.429,0.794,6.07,5.98,2014
雄平,ヤクルト,0.316,141,597,547,173,23,90,10,48,1,103,1,11,0.372,0.505,0.877,6.91,6.63,2014
天谷　宗一郎,広島,0.315,59,128,111,35,3,6,4,16,1,27,0,0,0.406,0.468,0.875,7.35,7.03,2014
ラッツ,楽天,0.314,15,58,51,16,5,18,1,4,2,7,0,2,0.379,0.667,1.046,8.53,8.53,2014
鳥谷　敬,阪神,0.313,144,644,550,172,8,73,10,87,2,80,1,14,0.406,0.415,0.82,6.39,6.18,2014
デスパイネ,ロッテ,0.311,45,182,161,50,12,33,0,16,2,36,0,6,0.374,0.627,1.001,7.83,7.72,2014
丸　佳浩,広島,0.31,144,644,536,166,19,67,26,100,4,95,0,12,0.419,0.491,0.91,7.66,7.44,2014
畠山　和洋,ヤクルト,0.31,113,464,422,131,17,79,2,36,2,54,1,17,0.365,0.481,0.846,6.00,5.85,2014
中村　晃,ソフトバンク,0.308,143,638,571,176,4,61,10,59,3,61,3,4,0.375,0.382,0.757,5.83,5.60,2014
工藤　隆人,中日,0.308,46,46,39,12,1,8,1,4,1,11,1,1,0.378,0.462,0.839,5.30,5.37,2014
カニザレス,ソフトバンク,0.308,8,14,13,4,0,2,0,0,0,1,0,1,0.286,0.538,0.824,4.37,4.52,2014
内川　聖一,ソフトバンク,0.307,122,534,488,150,18,74,0,34,5,48,0,5,0.354,0.475,0.829,6.36,6.24,2014
會澤　翼,広島,0.307,65,200,179,55,10,30,0,16,2,28,1,6,0.367,0.525,0.892,6.48,6.33,2014
飯原　誉士,ヤクルト,0.306,96,244,222,68,4,29,1,14,1,29,4,4,0.346,0.423,0.769,5.24,5.14,2014
川端　慎吾,ヤクルト,0.305,142,637,580,177,10,69,2,43,3,62,8,10,0.355,0.421,0.775,5.44,5.23,2014
グリエル,DeNA,0.305,62,258,239,73,11,30,3,15,2,40,0,4,0.349,0.536,0.884,6.85,6.59,2014
バレンティン,ヤクルト,0.301,112,446,366,110,31,69,2,75,2,95,0,10,0.419,0.587,1.007,8.78,8.68,2014
松田　宣浩,ソフトバンク,0.301,101,423,392,118,18,56,12,24,2,80,1,13,0.341,0.505,0.846,5.71,5.66,2014
小笠原　道大,中日,0.301,81,99,83,25,1,18,0,14,1,16,0,1,0.404,0.41,0.814,6.70,6.49,2014
李　大浩,ソフトバンク,0.3,144,625,566,170,19,68,0,46,10,97,0,18,0.362,0.454,0.816,5.64,5.50,2014
長谷川　勇也,ソフトバンク,0.3,135,541,473,142,6,55,7,54,7,95,0,8,0.375,0.414,0.79,5.73,5.62,2014
筒香　嘉智,DeNA,0.3,114,461,410,123,22,77,2,47,2,100,0,7,0.373,0.529,0.902,7.16,6.93,2014
高田　知季,ソフトバンク,0.3,12,12,10,3,0,2,0,1,0,4,1,0,0.364,0.5,0.864,6.26,5.60,2014
金澤　岳,ロッテ,0.299,42,96,87,26,1,5,0,7,0,21,2,2,0.351,0.391,0.742,4.86,4.61,2014
中村　悠平,ヤクルト,0.298,99,365,325,97,5,41,0,26,4,51,7,8,0.355,0.378,0.733,4.82,4.77,2014
長野　久義,巨人,0.297,130,523,472,140,13,62,8,42,3,75,4,8,0.356,0.445,0.801,5.74,5.56,2014
小谷野　栄一,日本ハム,0.296,84,274,243,72,4,29,0,22,3,40,5,4,0.361,0.403,0.764,5.29,5.09,2014
亀井　善行,巨人,0.296,69,268,240,71,8,26,3,19,3,30,4,4,0.352,0.475,0.827,6.01,5.83,2014
吉村　裕基,ソフトバンク,0.296,64,192,162,48,5,29,1,24,1,28,2,5,0.384,0.457,0.841,6.02,5.99,2014
新井　良太,阪神,0.295,78,196,173,51,7,34,0,17,3,48,1,0,0.364,0.468,0.832,6.60,6.52,2014
伊藤　隼太,阪神,0.294,52,131,119,35,2,12,1,7,1,26,1,1,0.331,0.412,0.743,5.14,5.20,2014
陽　岱鋼,日本ハム,0.293,125,540,471,138,25,85,20,45,12,108,9,10,0.367,0.495,0.862,6.41,6.36,2014
田中　広輔,広島,0.292,110,333,295,86,9,34,10,24,4,68,5,6,0.348,0.434,0.781,5.38,5.42,2014
狩野　恵輔,阪神,0.292,12,26,24,7,1,5,0,0,0,2,1,0,0.28,0.458,0.738,4.68,5.00,2014
松井　稼頭央,楽天,0.291,128,488,444,129,8,46,9,36,1,78,2,9,0.342,0.43,0.772,5.41,5.26,2014
本多　雄一,ソフトバンク,0.291,94,398,344,100,0,21,23,33,2,47,16,10,0.353,0.36,0.714,4.53,4.41,2014
メヒア,西武,0.29,106,450,396,115,34,73,2,45,6,156,0,4,0.369,0.581,0.95,7.72,7.74,2014
松元　ユウイチ,ヤクルト,0.289,72,89,83,24,0,14,0,5,0,6,0,3,0.326,0.325,0.651,3.57,3.54,2014
栗山　巧,西武,0.288,144,642,532,153,3,61,3,96,3,100,2,9,0.394,0.383,0.777,5.96,5.89,2014
森野　将彦,中日,0.288,141,588,507,146,13,86,3,69,1,66,5,20,0.37,0.432,0.802,5.53,5.43,2014
川端　崇義,オリックス,0.288,65,184,156,45,2,16,6,12,7,25,7,5,0.362,0.372,0.733,4.66,4.63,2014
鈴木　大地,ロッテ,0.287,144,610,533,153,3,43,7,45,6,57,22,1,0.347,0.385,0.732,5.13,4.97,2014
高橋　由伸,巨人,0.286,72,130,112,32,6,29,0,14,2,30,0,0,0.369,0.482,0.851,6.90,7.00,2014
野口　祥順,ヤクルト,0.286,35,44,42,12,0,1,0,1,0,11,1,0,0.302,0.381,0.683,4.24,3.89,2014
上本　崇司,広島,0.286,18,8,7,2,0,0,0,1,0,2,0,0,0.375,0.286,0.661,4.74,4.70,2014
三好　匠,楽天,0.286,3,7,7,2,0,0,0,0,0,3,0,0,0.286,0.571,0.857,6.12,5.24,2014
岡島　豪郎,楽天,0.283,142,618,545,154,7,53,9,57,4,71,9,7,0.353,0.382,0.735,4.81,4.71,2014
ゴメス,阪神,0.283,143,616,537,152,26,109,1,67,8,166,0,17,0.369,0.492,0.86,6.26,6.19,2014
ブランコ,DeNA,0.283,85,333,311,88,17,60,0,18,4,91,0,5,0.33,0.492,0.822,5.77,5.63,2014
後藤　武敏,DeNA,0.283,68,165,145,41,7,31,0,18,0,34,1,4,0.36,0.483,0.843,6.02,5.93,2014
福浦　和也,ロッテ,0.283,43,106,92,26,0,15,0,12,2,14,0,1,0.377,0.304,0.682,4.84,4.71,2014
竹原　直隆,オリックス,0.282,21,43,39,11,1,4,0,3,0,5,0,1,0.326,0.436,0.761,4.94,5.00,2014
和田　一浩,中日,0.281,90,356,302,85,16,65,2,45,4,38,0,11,0.376,0.493,0.87,6.37,6.44,2014
駿太,オリックス,0.28,127,277,246,69,5,30,5,17,2,55,12,3,0.332,0.411,0.743,4.67,4.51,2014
坂本　勇人,巨人,0.279,144,616,545,152,16,61,23,55,2,88,9,3,0.344,0.42,0.764,5.54,5.48,2014
角中　勝也,ロッテ,0.277,133,544,451,125,8,57,9,76,6,66,7,4,0.385,0.401,0.787,6.17,6.09,2014
