選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
長坂　拳弥,阪神,1.0,3,1,1,1,1,1,0,0,0,0,0,0,1.0,4.0,5.0,∞,∞,2019
畠山　和洋,ヤクルト,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2019
野村　大樹,ソフトバンク,0.5,2,2,2,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,12.30,11.07,2019
吉川　尚輝,巨人,0.39,11,46,41,16,0,3,1,3,0,4,2,1,0.432,0.415,0.846,5.98,5.59,2019
川島　慶三,ソフトバンク,0.364,47,88,66,24,1,8,4,17,1,9,2,3,0.488,0.515,1.004,9.41,9.16,2019
鈴木　誠也,広島,0.335,140,612,499,167,28,87,25,103,7,81,0,3,0.453,0.565,1.018,9.68,9.29,2019
山﨑　剛,楽天,0.333,16,30,27,9,1,2,4,0,0,5,3,0,0.333,0.593,0.926,7.71,7.07,2019
松井　佑介,オリックス,0.333,7,18,18,6,1,1,0,0,0,3,0,1,0.333,0.556,0.889,5.85,5.59,2019
江川　智晃,ソフトバンク,0.333,11,17,15,5,0,0,0,1,1,3,0,0,0.412,0.333,0.745,6.29,6.10,2019
山本　祐大,DeNA,0.333,13,12,12,4,0,2,0,0,0,3,0,0,0.333,0.333,0.667,4.46,4.25,2019
細川　亨,ロッテ,0.333,31,8,6,2,0,1,0,0,0,1,2,0,0.333,0.333,0.667,3.41,3.20,2019
松本　剛,日本ハム,0.333,4,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.667,4.55,4.32,2019
森　友哉,西武,0.329,135,573,492,162,23,105,3,72,2,89,1,9,0.413,0.547,0.959,8.38,8.11,2019
アルモンテ,中日,0.329,49,174,164,54,7,25,0,8,1,37,0,6,0.362,0.506,0.868,6.16,5.94,2019
吉田　正尚,オリックス,0.322,143,610,521,168,29,85,5,79,5,64,0,12,0.413,0.543,0.956,8.33,8.06,2019
グラシアル,ソフトバンク,0.319,103,410,373,119,28,68,4,22,7,84,4,10,0.365,0.595,0.96,7.35,7.27,2019
ビシエド,中日,0.315,143,594,534,168,18,93,2,41,13,88,0,22,0.374,0.496,0.87,6.31,6.04,2019
荻野　貴司,ロッテ,0.315,125,569,508,160,10,46,28,40,8,56,9,4,0.371,0.47,0.842,6.58,6.30,2019
糸井　嘉男,阪神,0.314,103,444,382,120,5,42,9,52,7,63,0,10,0.403,0.416,0.819,6.32,6.06,2019
坂本　勇人,巨人,0.312,143,639,555,173,40,94,5,77,2,123,3,9,0.396,0.575,0.971,8.22,8.00,2019
大島　洋平,中日,0.312,143,623,558,174,3,45,30,50,9,78,3,5,0.376,0.38,0.756,5.85,5.62,2019
ロメロ,オリックス,0.305,81,331,295,90,18,63,3,25,5,83,0,3,0.363,0.539,0.902,7.04,7.07,2019
銀次,楽天,0.304,141,590,529,161,5,56,2,52,4,58,4,19,0.37,0.382,0.752,4.87,4.66,2019
秋山　翔吾,西武,0.303,143,678,590,179,20,62,12,78,9,108,0,8,0.392,0.471,0.864,6.91,6.68,2019
近藤　健介,日本ハム,0.302,138,600,490,148,2,59,1,103,2,81,0,11,0.422,0.4,0.822,6.64,6.44,2019
長谷川　勇也,ソフトバンク,0.302,25,54,43,13,3,9,1,7,2,4,0,1,0.407,0.605,1.012,8.89,8.99,2019
