選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
渡辺　直人,楽天,0.5,1,4,4,2,0,0,0,0,0,1,0,0,0.5,0.75,1.25,16.52,13.91,2020
田宮　裕涼,日本ハム,0.429,4,7,7,3,0,0,1,0,0,2,0,0,0.429,0.429,0.857,9.62,8.78,2020
田中　貴也,楽天,0.4,9,18,15,6,1,4,0,1,0,7,2,0,0.438,0.6,1.038,9.0,8.57,2020
宮本　秀明,DeNA,0.4,6,5,5,2,0,0,0,0,0,3,0,0,0.4,0.4,0.8,2.6,2.63,2020
長坂　拳弥,阪神,0.4,5,5,5,2,1,2,1,0,0,3,0,0,0.4,1.0,1.4,17.04,16.47,2020
吉田　正尚,オリックス,0.35,120,492,408,143,14,64,8,72,8,29,0,6,0.453,0.512,0.966,9.23,8.75,2020
柳田　悠岐,ソフトバンク,0.342,119,515,427,146,29,86,7,84,1,103,0,2,0.449,0.623,1.071,10.88,10.41,2020
近藤　健介,日本ハム,0.34,108,467,371,126,5,60,4,89,2,72,0,6,0.465,0.469,0.934,9.2,8.8,2020
武岡　龍世,ヤクルト,0.333,5,12,9,3,0,0,0,2,0,3,1,0,0.455,0.333,0.788,6.58,6.4,2020
小窪　哲也,広島,0.333,3,3,3,1,0,0,0,0,0,0,0,1,0.333,0.333,0.667,-0.3,-0.45,2020
佐野　恵太,DeNA,0.328,106,451,402,132,20,69,0,42,4,58,0,13,0.395,0.532,0.927,7.49,7.25,2020
嶺井　博希,DeNA,0.327,41,60,55,18,0,8,0,4,1,14,0,1,0.383,0.382,0.765,5.73,5.36,2020
梶谷　隆幸,DeNA,0.323,109,482,433,140,19,53,14,45,1,85,1,4,0.387,0.527,0.913,7.53,7.22,2020
青木　宣親,ヤクルト,0.317,107,425,357,113,18,51,2,62,5,51,0,6,0.424,0.557,0.981,8.87,8.46,2020
大島　洋平,中日,0.316,118,525,462,146,1,30,16,47,4,51,9,5,0.382,0.381,0.763,5.64,5.41,2020
髙濱　祐仁,日本ハム,0.316,10,23,19,6,0,0,0,2,0,6,2,0,0.381,0.316,0.697,4.73,4.57,2020
真砂　勇介,ソフトバンク,0.314,50,41,35,11,1,6,2,4,2,11,0,0,0.415,0.514,0.929,7.48,7.2,2020
