選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
猪本　健太郎,ソフトバンク,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2014.0,550,捕手,6,24,1990/12/23,182cm,93kg,O型,右右,熊本,False
岸里　亮佑,日本ハム,0.667,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.667,0.667,1.333,8.53,7.83,2014.0,450,外野手,1,19,1995/04/03,180cm,75kg,B型,右左,岩手,False
乙坂　智,DeNA,0.5,6.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,38.40,36.45,2014.0,490,外野手,3,20,1994/01/06,182cm,83kg,O型,右左,神奈川,False
加藤　健,巨人,0.4,6.0,12.0,10.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.5,0.4,0.9,9.98,9.50,2014.0,2200,捕手,16,33,1981/03/23,186cm,93kg,A型,右右,新潟,False
鈴木　尚広,巨人,0.35,69.0,25.0,20.0,7.0,0.0,1.0,11.0,5.0,0.0,4.0,0.0,0.0,0.48,0.35,0.83,10.02,9.61,2014.0,4000,外野手,18,36,1978/04/27,180cm,78kg,A型,右両,福島,False
鈴木　誠也,広島,0.344,36.0,68.0,64.0,22.0,1.0,7.0,0.0,4.0,0.0,13.0,0.0,2.0,0.382,0.5,0.882,6.86,6.27,2014.0,650,内野手,2,20,1994/08/18,181cm,87kg,A型,右右,東京都,True
マートン,阪神,0.338,142.0,591.0,532.0,180.0,14.0,84.0,2.0,46.0,7.0,64.0,0.0,19.0,0.394,0.477,0.872,6.59,6.33,2014.0,35350,外野手,5,33,1981/10/03,185cm,99kg,不明,右右,アメリカ,True
ロサリオ,広島,0.336,69.0,264.0,238.0,80.0,14.0,49.0,1.0,23.0,1.0,58.0,0.0,8.0,0.394,0.584,0.978,7.85,7.61,2014.0,1020,外野手,1,25,1989/03/29,186cm,100kg,不明,右右,ドミニカ共和国,True
安部　友裕,広島,0.333,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,4.55,4.32,2014.0,1050,内野手,7,25,1989/06/24,181cm,81kg,O型,右左,福岡,False
糸井　嘉男,オリックス,0.331,140.0,590.0,502.0,166.0,19.0,81.0,31.0,70.0,14.0,73.0,0.0,7.0,0.424,0.524,0.948,8.62,8.23,2014.0,25000,外野手,11,33,1981/07/31,187cm,88kg,A型,右左,京都,False
銀次,楽天,0.327,117.0,509.0,459.0,150.0,4.0,70.0,1.0,43.0,2.0,45.0,1.0,10.0,0.384,0.41,0.793,5.86,5.62,2014.0,6000,内野手,9,26,1988/02/24,174cm,85kg,A型,右左,岩手,False
菊池　涼介,広島,0.325,144.0,654.0,579.0,188.0,11.0,58.0,23.0,24.0,3.0,79.0,43.0,9.0,0.352,0.456,0.808,5.46,5.22,2014.0,3900,内野手,3,24,1990/03/11,171cm,69kg,A型,右右,東京都,True
山田　哲人,ヤクルト,0.324,143.0,685.0,596.0,193.0,29.0,89.0,15.0,74.0,8.0,95.0,2.0,10.0,0.403,0.539,0.941,8.08,7.81,2014.0,2200,内野手,4,22,1992/07/16,180cm,76kg,O型,右右,兵庫,False
隠善　智也,巨人,0.321,11.0,29.0,28.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.321,0.321,0.643,2.91,2.74,2014.0,800,外野手,8,30,1984/06/05,174cm,77kg,O型,左左,広島,False
アンダーソン,巨人,0.319,87.0,325.0,295.0,94.0,15.0,50.0,1.0,25.0,5.0,44.0,0.0,4.0,0.382,0.515,0.897,7.35,7.09,2014.0,6000,外野手,1,32,1982/03/30,185cm,93kg,不明,左左,キューバ,True
大島　洋平,中日,0.318,141.0,642.0,585.0,186.0,2.0,28.0,28.0,43.0,6.0,56.0,6.0,3.0,0.369,0.366,0.735,5.40,5.20,2014.0,5625,外野手,5,29,1985/11/09,176cm,74kg,A型,左左,愛知,False
松山　竜平,広島,0.318,80.0,250.0,233.0,74.0,7.0,34.0,0.0,14.0,2.0,29.0,0.0,7.0,0.36,0.455,0.815,5.72,5.52,2014.0,2200,外野手,7,29,1985/09/18,176cm,95kg,B型,右左,鹿児島,False
柳田　悠岐,ソフトバンク,0.317,144.0,615.0,524.0,166.0,15.0,70.0,33.0,72.0,16.0,131.0,0.0,8.0,0.413,0.452,0.865,7.55,7.31,2014.0,3200,外野手,4,26,1988/10/09,187cm,95kg,AB型,右左,広島,False
ルナ,中日,0.317,127.0,527.0,467.0,148.0,17.0,73.0,8.0,51.0,5.0,98.0,0.0,11.0,0.387,0.501,0.888,7.12,6.88,2014.0,20000,内野手,2,34,1980/02/01,187cm,99kg,B型,右右,ドミニカ共和国,True
小窪　哲也,広島,0.317,78.0,182.0,161.0,51.0,3.0,30.0,1.0,12.0,2.0,15.0,4.0,1.0,0.365,0.429,0.794,6.07,5.98,2014.0,1480,内野手,7,29,1985/04/12,175cm,80kg,O型,右右,奈良,False
雄平,ヤクルト,0.316,141.0,597.0,547.0,173.0,23.0,90.0,10.0,48.0,1.0,103.0,1.0,11.0,0.372,0.505,0.877,6.91,6.63,2014.0,1250,外野手,12,30,1984/06/25,174cm,83kg,A型,左左,神奈川,False
天谷　宗一郎,広島,0.315,59.0,128.0,111.0,35.0,3.0,6.0,4.0,16.0,1.0,27.0,0.0,0.0,0.406,0.468,0.875,7.35,7.03,2014.0,2400,外野手,13,31,1983/11/08,178cm,87kg,O型,左左,福井,False
ラッツ,楽天,0.314,15.0,58.0,51.0,16.0,5.0,18.0,1.0,4.0,2.0,7.0,0.0,2.0,0.379,0.667,1.046,8.53,8.53,2014.0,4000,内野手,1,28,1986/06/03,182cm,97kg,不明,右右,アメリカ,True
鳥谷　敬,阪神,0.313,144.0,644.0,550.0,172.0,8.0,73.0,10.0,87.0,2.0,80.0,1.0,14.0,0.406,0.415,0.82,6.39,6.18,2014.0,30000,内野手,11,33,1981/06/26,180cm,77kg,B型,右左,東京都,True
デスパイネ,ロッテ,0.311,45.0,182.0,161.0,50.0,12.0,33.0,0.0,16.0,2.0,36.0,0.0,6.0,0.374,0.627,1.001,7.83,7.72,2014.0,7000,外野手,1,28,1986/06/17,175cm,95kg,不明,右右,キューバ,True
丸　佳浩,広島,0.31,144.0,644.0,536.0,166.0,19.0,67.0,26.0,100.0,4.0,95.0,0.0,12.0,0.419,0.491,0.91,7.66,7.44,2014.0,5100,外野手,7,25,1989/04/11,177cm,90kg,AB型,右左,千葉,False
畠山　和洋,ヤクルト,0.31,113.0,464.0,422.0,131.0,17.0,79.0,2.0,36.0,2.0,54.0,1.0,17.0,0.365,0.481,0.846,6.00,5.85,2014.0,6400,内野手,14,32,1982/09/13,180cm,96kg,O型,右右,岩手,False
中村　晃,ソフトバンク,0.308,143.0,638.0,571.0,176.0,4.0,61.0,10.0,59.0,3.0,61.0,3.0,4.0,0.375,0.382,0.757,5.83,5.60,2014.0,3700,外野手,7,25,1989/11/05,175cm,82kg,O型,左左,埼玉,False
工藤　隆人,中日,0.308,46.0,46.0,39.0,12.0,1.0,8.0,1.0,4.0,1.0,11.0,1.0,1.0,0.378,0.462,0.839,5.30,5.37,2014.0,1000,外野手,10,33,1981/03/30,171cm,73kg,A型,左左,青森,False
カニザレス,ソフトバンク,0.308,8.0,14.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.286,0.538,0.824,4.37,4.52,2014.0,4500,内野手,1,35,1979/11/21,190cm,109kg,不明,右右,キューバ,True
内川　聖一,ソフトバンク,0.307,122.0,534.0,488.0,150.0,18.0,74.0,0.0,34.0,5.0,48.0,0.0,5.0,0.354,0.475,0.829,6.36,6.24,2014.0,27000,外野手,14,32,1982/08/04,185cm,90kg,B型,右右,大分,False
會澤　翼,広島,0.307,65.0,200.0,179.0,55.0,10.0,30.0,0.0,16.0,2.0,28.0,1.0,6.0,0.367,0.525,0.892,6.48,6.33,2014.0,900,捕手,8,26,1988/04/13,177cm,91kg,B型,右右,茨城,False
飯原　誉士,ヤクルト,0.306,96.0,244.0,222.0,68.0,4.0,29.0,1.0,14.0,1.0,29.0,4.0,4.0,0.346,0.423,0.769,5.24,5.14,2014.0,3150,外野手,9,31,1983/04/26,181cm,88kg,O型,右右,栃木,False
川端　慎吾,ヤクルト,0.305,142.0,637.0,580.0,177.0,10.0,69.0,2.0,43.0,3.0,62.0,8.0,10.0,0.355,0.421,0.775,5.44,5.23,2014.0,5600,内野手,9,27,1987/10/16,185cm,86kg,O型,右左,大阪,False
グリエル,DeNA,0.305,62.0,258.0,239.0,73.0,11.0,30.0,3.0,15.0,2.0,40.0,0.0,4.0,0.349,0.536,0.884,6.85,6.59,2014.0,10000,内野手,1,30,1984/06/09,183cm,89kg,不明,右右,キューバ,True
バレンティン,ヤクルト,0.301,112.0,446.0,366.0,110.0,31.0,69.0,2.0,75.0,2.0,95.0,0.0,10.0,0.419,0.587,1.007,8.78,8.68,2014.0,20000,外野手,4,30,1984/07/02,185cm,100kg,O型,右右,アンティル,True
松田　宣浩,ソフトバンク,0.301,101.0,423.0,392.0,118.0,18.0,56.0,12.0,24.0,2.0,80.0,1.0,13.0,0.341,0.505,0.846,5.71,5.66,2014.0,22000,内野手,9,31,1983/05/17,180cm,89kg,B型,右右,滋賀,False
小笠原　道大,中日,0.301,81.0,99.0,83.0,25.0,1.0,18.0,0.0,14.0,1.0,16.0,0.0,1.0,0.404,0.41,0.814,6.70,6.49,2014.0,3000,内野手,18,41,1973/10/25,178cm,84kg,A型,右左,千葉,False
李　大浩,ソフトバンク,0.3,144.0,625.0,566.0,170.0,19.0,68.0,0.0,46.0,10.0,97.0,0.0,18.0,0.362,0.454,0.816,5.64,5.50,2014.0,40000,内野手,3,32,1982/06/21,194cm,130kg,A型,右右,韓国,True
長谷川　勇也,ソフトバンク,0.3,135.0,541.0,473.0,142.0,6.0,55.0,7.0,54.0,7.0,95.0,0.0,8.0,0.375,0.414,0.79,5.73,5.62,2014.0,20000,外野手,8,30,1984/12/22,180cm,88kg,AB型,右左,山形,False
筒香　嘉智,DeNA,0.3,114.0,461.0,410.0,123.0,22.0,77.0,2.0,47.0,2.0,100.0,0.0,7.0,0.373,0.529,0.902,7.16,6.93,2014.0,1600,内野手,5,23,1991/11/26,185cm,97kg,A型,右左,和歌山,False
高田　知季,ソフトバンク,0.3,12.0,12.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.364,0.5,0.864,6.26,5.60,2014.0,1200,内野手,2,24,1990/05/06,175cm,64kg,O型,右左,兵庫,False
金澤　岳,ロッテ,0.299,42.0,96.0,87.0,26.0,1.0,5.0,0.0,7.0,0.0,21.0,2.0,2.0,0.351,0.391,0.742,4.86,4.61,2014.0,1270,捕手,12,30,1984/05/05,180cm,82kg,O型,右左,栃木,False
中村　悠平,ヤクルト,0.298,99.0,365.0,325.0,97.0,5.0,41.0,0.0,26.0,4.0,51.0,7.0,8.0,0.355,0.378,0.733,4.82,4.77,2014.0,2600,捕手,6,24,1990/06/17,176cm,83kg,A型,右右,福井,False
長野　久義,巨人,0.297,130.0,523.0,472.0,140.0,13.0,62.0,8.0,42.0,3.0,75.0,4.0,8.0,0.356,0.445,0.801,5.74,5.56,2014.0,18000,外野手,5,30,1984/12/06,180cm,83kg,O型,右右,佐賀,False
小谷野　栄一,日本ハム,0.296,84.0,274.0,243.0,72.0,4.0,29.0,0.0,22.0,3.0,40.0,5.0,4.0,0.361,0.403,0.764,5.29,5.09,2014.0,7000,内野手,12,34,1980/10/10,177cm,94kg,O型,右右,東京都,True
亀井　善行,巨人,0.296,69.0,268.0,240.0,71.0,8.0,26.0,3.0,19.0,3.0,30.0,4.0,4.0,0.352,0.475,0.827,6.01,5.83,2014.0,4000,外野手,10,32,1982/07/28,178cm,82kg,AB型,右左,奈良,False
吉村　裕基,ソフトバンク,0.296,64.0,192.0,162.0,48.0,5.0,29.0,1.0,24.0,1.0,28.0,2.0,5.0,0.384,0.457,0.841,6.02,5.99,2014.0,3500,外野手,12,30,1984/06/14,182cm,95kg,B型,右右,福岡,False
新井　良太,阪神,0.295,78.0,196.0,173.0,51.0,7.0,34.0,0.0,17.0,3.0,48.0,1.0,0.0,0.364,0.468,0.832,6.60,6.52,2014.0,3300,内野手,9,31,1983/08/16,188cm,98kg,AB型,右右,広島,False
伊藤　隼太,阪神,0.294,52.0,131.0,119.0,35.0,2.0,12.0,1.0,7.0,1.0,26.0,1.0,1.0,0.331,0.412,0.743,5.14,5.20,2014.0,1200,外野手,3,25,1989/05/08,177cm,79kg,O型,右左,愛知,False
陽　岱鋼,日本ハム,0.293,125.0,540.0,471.0,138.0,25.0,85.0,20.0,45.0,12.0,108.0,9.0,10.0,0.367,0.495,0.862,6.41,6.36,2014.0,18000,外野手,9,27,1987/01/17,183cm,87kg,A型,右右,台湾,True
田中　広輔,広島,0.292,110.0,333.0,295.0,86.0,9.0,34.0,10.0,24.0,4.0,68.0,5.0,6.0,0.348,0.434,0.781,5.38,5.42,2014.0,1100,内野手,1,25,1989/07/03,171cm,81kg,A型,右左,神奈川,False
狩野　恵輔,阪神,0.292,12.0,26.0,24.0,7.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.28,0.458,0.738,4.68,5.00,2014.0,800,外野手,14,32,1982/12/17,181cm,77kg,B型,右右,群馬,False
松井　稼頭央,楽天,0.291,128.0,488.0,444.0,129.0,8.0,46.0,9.0,36.0,1.0,78.0,2.0,9.0,0.342,0.43,0.772,5.41,5.26,2014.0,16000,内野手,14,39,1975/10/23,177cm,85kg,O型,右両,大阪,False
本多　雄一,ソフトバンク,0.291,94.0,398.0,344.0,100.0,0.0,21.0,23.0,33.0,2.0,47.0,16.0,10.0,0.353,0.36,0.714,4.53,4.41,2014.0,18000,内野手,9,30,1984/11/19,174cm,71kg,O型,右左,福岡,False
メヒア,西武,0.29,106.0,450.0,396.0,115.0,34.0,73.0,2.0,45.0,6.0,156.0,0.0,4.0,0.369,0.581,0.95,7.72,7.74,2014.0,3600,内野手,1,29,1985/12/02,198cm,118kg,不明,右右,ベネズエラ,True
松元　ユウイチ,ヤクルト,0.289,72.0,89.0,83.0,24.0,0.0,14.0,0.0,5.0,0.0,6.0,0.0,3.0,0.326,0.325,0.651,3.57,3.54,2014.0,1850,外野手,16,34,1980/12/18,178cm,86kg,A型,左左,ブラジル,True
栗山　巧,西武,0.288,144.0,642.0,532.0,153.0,3.0,61.0,3.0,96.0,3.0,100.0,2.0,9.0,0.394,0.383,0.777,5.96,5.89,2014.0,20000,外野手,13,31,1983/09/03,177cm,85kg,O型,右左,兵庫,False
森野　将彦,中日,0.288,141.0,588.0,507.0,146.0,13.0,86.0,3.0,69.0,1.0,66.0,5.0,20.0,0.37,0.432,0.802,5.53,5.43,2014.0,17000,内野手,18,36,1978/07/28,180cm,85kg,AB型,右左,神奈川,False
川端　崇義,オリックス,0.288,65.0,184.0,156.0,45.0,2.0,16.0,6.0,12.0,7.0,25.0,7.0,5.0,0.362,0.372,0.733,4.66,4.63,2014.0,2300,外野手,3,29,1985/02/04,176cm,80kg,B型,右右,静岡,False
鈴木　大地,ロッテ,0.287,144.0,610.0,533.0,153.0,3.0,43.0,7.0,45.0,6.0,57.0,22.0,1.0,0.347,0.385,0.732,5.13,4.97,2014.0,4200,内野手,3,25,1989/08/18,175cm,79kg,O型,右左,静岡,False
高橋　由伸,巨人,0.286,72.0,130.0,112.0,32.0,6.0,29.0,0.0,14.0,2.0,30.0,0.0,0.0,0.369,0.482,0.851,6.90,7.00,2014.0,16000,外野手,17,39,1975/04/03,180cm,87kg,O型,右左,千葉,False
野口　祥順,ヤクルト,0.286,35.0,44.0,42.0,12.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,0.302,0.381,0.683,4.24,3.89,2014.0,1050,内野手,15,33,1981/05/16,185cm,83kg,A型,右右,茨城,False
上本　崇司,広島,0.286,18.0,8.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.375,0.286,0.661,4.74,4.70,2014.0,1030,内野手,2,24,1990/08/22,170cm,71kg,A型,右右,広島,False
三好　匠,楽天,0.286,3.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.286,0.571,0.857,6.12,5.24,2014.0,630,内野手,3,21,1993/06/07,174cm,75kg,A型,右右,福岡,False
岡島　豪郎,楽天,0.283,142.0,618.0,545.0,154.0,7.0,53.0,9.0,57.0,4.0,71.0,9.0,7.0,0.353,0.382,0.735,4.81,4.71,2014.0,3000,外野手,3,25,1989/09/07,177cm,82kg,B型,右左,群馬,False
ゴメス,阪神,0.283,143.0,616.0,537.0,152.0,26.0,109.0,1.0,67.0,8.0,166.0,0.0,17.0,0.369,0.492,0.86,6.26,6.19,2014.0,12000,内野手,1,30,1984/09/07,188cm,104kg,不明,右右,ドミニカ共和国,True
ゴメス,阪神,0.283,143.0,616.0,537.0,152.0,26.0,109.0,1.0,67.0,8.0,166.0,0.0,17.0,0.369,0.492,0.86,6.26,6.19,2014.0,1030,外野手,1,36,1978/08/08,191cm,100kg,B型,左左,ドミニカ共和国,True
