選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
今成　亮太,日本ハム,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,∞,∞,2010.0,590,捕手,5,23,1987/10/06,178cm,78kg,O型,右左,埼玉,False
渡部　龍一,日本ハム,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2010.0,550,捕手,7,25,1985/10/02,171cm,79kg,A型,右右,北海道,False
金澤　岳,ロッテ,0.571,6.0,7.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.571,0.571,1.143,17.32,15.39,2010.0,740,捕手,8,26,1984/05/05,180cm,82kg,O型,右左,栃木,False
青木　宣親,ヤクルト,0.358,144.0,667.0,583.0,209.0,14.0,63.0,19.0,63.0,18.0,61.0,0.0,10.0,0.435,0.509,0.944,8.87,8.30,2010.0,28000,外野手,7,28,1982/01/05,175cm,80kg,A型,右左,宮崎,False
平野　恵一,阪神,0.35,139.0,593.0,492.0,172.0,1.0,24.0,6.0,34.0,7.0,55.0,59.0,2.0,0.399,0.421,0.82,5.93,5.55,2010.0,8000,内野手,9,31,1979/04/07,169cm,64kg,B型,右左,神奈川,False
マートン,阪神,0.349,144.0,668.0,613.0,214.0,17.0,91.0,11.0,47.0,3.0,70.0,0.0,14.0,0.395,0.499,0.894,7.32,6.96,2010.0,10000,外野手,1,29,1981/10/03,185cm,99kg,不明,右右,アメリカ,True
西岡　剛,ロッテ,0.346,144.0,692.0,596.0,206.0,11.0,59.0,22.0,79.0,4.0,96.0,8.0,8.0,0.423,0.482,0.904,7.81,7.46,2010.0,17000,内野手,8,26,1984/07/27,182cm,80kg,A型,右左,大阪,False
和田　一浩,中日,0.339,144.0,602.0,505.0,171.0,37.0,93.0,5.0,92.0,0.0,77.0,0.0,12.0,0.437,0.624,1.061,10.05,9.69,2010.0,28000,外野手,14,38,1972/06/19,182cm,90kg,O型,右右,岐阜,False
フェルナンデス,西武,0.339,57.0,243.0,221.0,75.0,11.0,45.0,1.0,17.0,2.0,26.0,0.0,8.0,0.387,0.538,0.925,7.35,7.17,2010.0,3000,内野手,8,36,1974/11/02,192cm,100kg,不明,右右,ドミニカ共和国,True
田中　賢介,日本ハム,0.335,143.0,662.0,576.0,193.0,5.0,54.0,34.0,72.0,2.0,66.0,7.0,6.0,0.408,0.417,0.824,6.94,6.65,2010.0,19000,内野手,11,29,1981/05/20,176cm,78kg,O型,右左,福岡,False
上本　博紀,阪神,0.333,28.0,16.0,15.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.375,0.4,0.775,4.38,3.89,2010.0,1000,内野手,2,24,1986/07/04,173cm,63kg,O型,右右,広島,False
新田　玄気,ヤクルト,0.333,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.5,0.833,6.54,5.74,2010.0,900,捕手,2,28,1982/08/22,172cm,80kg,A型,右右,香川,False
中村　悠平,ヤクルト,0.333,3.0,6.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.333,0.5,0.833,6.35,5.60,2010.0,530,捕手,2,20,1990/06/17,176cm,70kg,A型,右右,福井,False
今江　敏晃,ロッテ,0.331,140.0,596.0,531.0,176.0,10.0,77.0,8.0,22.0,8.0,66.0,30.0,10.0,0.364,0.461,0.825,5.88,5.60,2010.0,10200,内野手,9,27,1983/08/26,180cm,88kg,B型,右右,京都,False
カブレラ,オリックス,0.331,112.0,481.0,408.0,135.0,24.0,82.0,1.0,69.0,2.0,91.0,0.0,14.0,0.428,0.569,0.997,8.73,8.41,2010.0,28000,内野手,10,39,1971/12/24,185cm,100kg,不明,右右,ベネズエラ,True
森山　周,オリックス,0.331,68.0,149.0,130.0,43.0,0.0,9.0,5.0,8.0,0.0,21.0,10.0,2.0,0.367,0.346,0.713,4.63,4.49,2010.0,1400,内野手,5,29,1981/08/11,179cm,73kg,O型,右左,兵庫,False
平尾　博嗣,西武,0.33,57.0,126.0,109.0,36.0,3.0,17.0,2.0,13.0,0.0,24.0,3.0,4.0,0.398,0.477,0.875,6.52,6.31,2010.0,3400,内野手,17,35,1975/12/31,176cm,76kg,O型,右右,埼玉,False
森野　将彦,中日,0.327,144.0,626.0,547.0,179.0,22.0,84.0,2.0,64.0,6.0,77.0,2.0,16.0,0.399,0.537,0.937,7.58,7.30,2010.0,16000,内野手,14,32,1978/07/28,180cm,85kg,AB型,右左,神奈川,False
荻野　貴司,ロッテ,0.326,46.0,217.0,175.0,57.0,1.0,17.0,25.0,16.0,2.0,24.0,21.0,2.0,0.383,0.417,0.8,6.17,5.96,2010.0,1500,外野手,1,25,1985/10/21,172cm,75kg,O型,右右,奈良,False
多村　仁志,ソフトバンク,0.324,140.0,559.0,513.0,166.0,27.0,89.0,2.0,33.0,10.0,93.0,0.0,11.0,0.374,0.55,0.924,7.37,7.10,2010.0,8000,外野手,16,33,1977/03/28,180cm,82kg,B型,右右,神奈川,False
木村　昇吾,広島,0.324,70.0,164.0,136.0,44.0,1.0,11.0,6.0,10.0,2.0,33.0,16.0,1.0,0.378,0.493,0.871,5.86,5.48,2010.0,1400,内野手,8,30,1980/04/16,182cm,77kg,A型,右左,大阪,False
鉄平,楽天,0.318,127.0,555.0,481.0,153.0,9.0,64.0,13.0,53.0,9.0,57.0,5.0,3.0,0.391,0.464,0.855,7.02,6.82,2010.0,12000,外野手,10,28,1982/12/27,178cm,78kg,AB型,右左,大分,False
石井　琢朗,広島,0.318,74.0,165.0,148.0,47.0,0.0,20.0,1.0,11.0,1.0,20.0,5.0,2.0,0.369,0.365,0.734,5.05,4.78,2010.0,2500,内野手,22,40,1970/08/25,174cm,78kg,B型,右左,栃木,False
川崎　宗則,ソフトバンク,0.316,144.0,662.0,602.0,190.0,4.0,53.0,30.0,43.0,7.0,86.0,10.0,6.0,0.368,0.397,0.765,5.62,5.33,2010.0,15000,内野手,11,29,1981/06/03,179cm,75kg,O型,右左,鹿児島,False
ハーパー,横浜,0.316,64.0,261.0,225.0,71.0,19.0,56.0,0.0,28.0,4.0,58.0,0.0,7.0,0.395,0.596,0.99,8.15,8.20,2010.0,15000,内野手,1,29,1981/07/31,193cm,112kg,不明,右左,アメリカ,True
内川　聖一,横浜,0.315,144.0,637.0,577.0,182.0,9.0,66.0,1.0,47.0,6.0,51.0,3.0,17.0,0.371,0.438,0.809,5.79,5.54,2010.0,17000,内野手,10,28,1982/08/04,184cm,88kg,B型,右右,大分,False
