選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
吉川　大幾,中日,0.5,3,2,2,1,0,1,0,0,0,1,0,0,0.5,0.5,1.0,12.04,10.8,2012
谷口　雄也,日本ハム,0.4,4,6,5,2,0,1,0,0,0,2,1,0,0.4,0.6,1.0,7.56,6.55,2012
深江　真登,オリックス,0.375,8,29,24,9,0,2,3,2,1,5,2,0,0.444,0.542,0.986,8.84,8.27,2012
二岡　智宏,日本ハム,0.353,65,94,85,30,2,14,0,7,1,13,0,3,0.404,0.435,0.84,6.57,6.38,2012
阿部　慎之助,巨人,0.34,138,556,467,159,27,104,0,69,9,47,2,11,0.429,0.565,0.994,9.0,8.79,2012
狩野　恵輔,阪神,0.333,7,15,15,5,1,1,0,0,0,3,0,0,0.333,0.667,1.0,8.58,7.99,2012
桑原　将志,DeNA,0.333,3,3,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.667,4.43,4.19,2012
鈴木　将光,広島,0.333,1,3,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.667,4.43,4.19,2012
磯村　嘉孝,広島,0.333,1,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.667,4.55,4.32,2012
前田　智徳,広島,0.327,56,56,49,16,0,19,0,5,0,5,0,2,0.375,0.408,0.783,5.47,5.33,2012
石井　義人,巨人,0.315,51,64,54,17,0,14,0,7,0,9,1,0,0.381,0.352,0.733,5.69,5.87,2012
角中　勝也,ロッテ,0.312,128,525,477,149,3,61,8,38,5,68,1,9,0.366,0.415,0.782,5.67,5.43,2012
坂本　勇人,巨人,0.311,144,619,557,173,14,69,16,39,6,90,12,5,0.359,0.456,0.815,6.29,6.06,2012
中島　裕之,西武,0.311,136,567,499,155,13,74,7,52,9,76,1,10,0.382,0.451,0.833,6.29,6.14,2012
大島　洋平,中日,0.31,144,631,555,172,1,13,32,46,13,80,17,7,0.376,0.368,0.744,5.13,4.91,2012
中東　直己,広島,0.31,53,33,29,9,0,1,1,2,0,5,2,0,0.355,0.31,0.665,3.94,3.85,2012
ホワイトセル,ロッテ,0.309,63,257,223,69,9,43,0,29,4,75,0,2,0.397,0.489,0.886,7.37,7.16,2012
藤田　一也,楽天,0.308,63,188,172,53,0,15,5,4,0,10,11,4,0.322,0.378,0.7,4.05,3.84,2012
田上　健一,阪神,0.308,31,16,13,4,0,1,2,1,0,5,2,0,0.357,0.308,0.665,3.67,3.62,2012
矢野　謙次,巨人,0.307,62,119,101,31,1,4,0,12,2,18,4,4,0.391,0.396,0.787,5.38,5.08,2012
糸井　嘉男,日本ハム,0.304,134,597,510,155,9,48,22,75,11,86,0,9,0.404,0.41,0.813,6.47,6.26,2012
長野　久義,巨人,0.301,144,653,574,173,14,60,20,75,1,100,2,5,0.382,0.432,0.815,6.45,6.2,2012
内川　聖一,ソフトバンク,0.3,138,567,523,157,7,53,6,31,6,36,0,12,0.342,0.392,0.734,4.81,4.73,2012
ミレッジ,ヤクルト,0.3,125,546,476,143,21,65,9,57,6,79,3,11,0.379,0.485,0.865,6.46,6.34,2012
田中　賢介,日本ハム,0.3,114,505,457,137,3,32,13,35,2,36,8,2,0.35,0.363,0.713,4.81,4.7,2012
ラミレス,DeNA,0.3,137,504,476,143,19,76,0,18,7,60,0,18,0.333,0.473,0.806,5.26,5.13,2012
松田　宣浩,ソフトバンク,0.3,95,390,360,108,9,56,16,27,1,63,0,7,0.349,0.492,0.84,5.87,5.59,2012
島内　宏明,楽天,0.299,41,104,97,29,2,17,1,2,0,8,4,2,0.31,0.443,0.753,4.73,4.58,2012
川端　慎吾,ヤクルト,0.298,125,507,453,135,4,49,3,35,2,56,13,7,0.348,0.38,0.728,4.82,4.72,2012
阿部　俊人,楽天,0.298,30,51,47,14,0,2,1,0,1,9,3,0,0.313,0.298,0.61,2.53,2.52,2012
宮出　隆自,ヤクルト,0.296,37,58,54,16,3,8,0,3,0,11,1,1,0.333,0.593,0.926,6.84,6.51,2012
枡田　慎太郎,楽天,0.295,79,290,254,75,5,32,1,19,5,56,7,2,0.35,0.433,0.783,5.55,5.51,2012
カーター,西武,0.294,59,138,126,37,4,27,0,10,1,22,0,3,0.348,0.452,0.8,5.6,5.47,2012
