選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
金澤　岳,ロッテ,1.0,2,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2009
小田　智之,日本ハム,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2009
城石　憲之,ヤクルト,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,2.0,3.0,∞,∞,2009
上村　和裕,広島,1.0,1,1,1,1,0,1,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2009
円谷　英俊,巨人,0.5,1,2,2,1,1,4,0,0,0,0,0,0,0.5,2.0,2.5,38.40,36.45,2009
横山　徹也,オリックス,0.421,10,19,19,8,0,1,0,0,0,5,0,1,0.421,0.526,0.947,7.79,6.84,2009
鞘師　智也,広島,0.4,2,5,5,2,0,0,0,0,0,1,0,0,0.4,0.8,1.2,12.62,10.44,2009
吉本　亮,ヤクルト,0.36,32,33,25,9,1,6,0,2,0,2,6,0,0.407,0.56,0.967,7.02,6.55,2009
岡崎　太一,阪神,0.357,14,16,14,5,0,1,0,1,1,2,0,1,0.438,0.357,0.795,5.63,5.10,2009
鬼崎　裕司,ヤクルト,0.356,15,50,45,16,2,8,0,4,0,3,1,0,0.408,0.533,0.941,8.63,8.02,2009
飯山　裕志,日本ハム,0.333,76,41,36,12,0,1,2,1,0,5,4,1,0.351,0.333,0.685,4.23,3.99,2009
中嶋　聡,日本ハム,0.333,3,4,3,1,0,0,0,0,0,1,1,0,0.333,0.333,0.667,0.00,0.20,2009
小川　将俊,中日,0.333,5,3,3,1,0,1,0,0,0,1,0,0,0.333,0.333,0.667,4.43,4.19,2009
谷　佳知,巨人,0.331,101,316,287,95,11,48,3,22,3,44,3,4,0.383,0.533,0.916,7.60,7.18,2009
鉄平,楽天,0.327,132,565,496,162,12,76,13,47,9,76,8,4,0.391,0.504,0.895,7.48,7.18,2009
藤井　彰人,楽天,0.324,35,76,71,23,1,9,0,2,0,9,3,2,0.342,0.38,0.723,4.45,4.24,2009
ラミレス,巨人,0.322,144,608,577,186,31,103,4,21,4,88,0,12,0.347,0.544,0.891,6.71,6.53,2009
吉川　元浩,ソフトバンク,0.32,19,34,25,8,1,1,0,4,0,9,5,0,0.414,0.52,0.934,5.45,5.29,2009
内川　聖一,横浜,0.318,132,552,503,160,17,66,1,42,1,56,2,16,0.369,0.491,0.86,6.16,5.92,2009
立浪　和義,中日,0.318,77,80,66,21,1,17,0,12,1,7,0,1,0.425,0.439,0.864,7.59,7.33,2009
坂口　智隆,オリックス,0.317,137,594,526,167,5,50,16,52,4,81,8,8,0.381,0.416,0.797,6.12,5.89,2009
サブロー,ロッテ,0.314,119,489,427,134,22,68,4,48,1,121,4,7,0.377,0.534,0.911,6.97,6.97,2009
カブレラ,オリックス,0.314,65,275,239,75,13,39,0,33,2,53,0,10,0.4,0.519,0.919,7.16,6.99,2009
浅井　良,阪神,0.313,50,107,96,30,4,13,3,3,1,28,7,2,0.34,0.5,0.84,5.59,5.41,2009
中村　一生,中日,0.313,10,18,16,5,1,2,0,1,0,5,0,0,0.333,0.5,0.833,6.35,7.02,2009
長谷川　勇也,ソフトバンク,0.312,143,584,509,159,7,44,10,57,6,89,11,7,0.387,0.426,0.814,6.23,5.92,2009
中島　裕之,西武,0.309,144,648,560,173,22,92,20,75,10,113,0,17,0.398,0.493,0.891,6.84,6.64,2009
小笠原　道大,巨人,0.309,139,580,514,159,31,107,2,60,4,107,0,8,0.384,0.543,0.927,7.67,7.47,2009
高橋　信二,日本ハム,0.309,134,558,508,157,8,75,7,35,5,78,7,16,0.358,0.404,0.761,5.07,4.90,2009
ローズ,オリックス,0.308,84,346,295,91,22,62,0,44,4,74,0,5,0.402,0.583,0.985,8.44,8.26,2009
矢野　輝弘,阪神,0.307,30,83,75,23,2,8,1,8,0,17,0,1,0.373,0.427,0.8,6.21,5.99,2009
井端　弘和,中日,0.306,144,657,569,174,5,39,13,72,6,66,8,13,0.388,0.381,0.77,5.58,5.39,2009
坂本　勇人,巨人,0.306,141,640,581,178,18,62,5,44,4,101,7,8,0.357,0.466,0.823,6.08,5.88,2009
糸井　嘉男,日本ハム,0.306,131,496,425,130,15,58,24,46,6,93,18,6,0.381,0.52,0.901,7.08,6.66,2009
憲史,楽天,0.306,77,139,121,37,3,21,0,15,1,18,0,4,0.381,0.446,0.828,6.11,6.02,2009
草野　大輔,楽天,0.305,122,511,462,141,7,54,3,27,17,60,3,15,0.364,0.411,0.775,5.35,5.11,2009
金子　誠,日本ハム,0.304,136,510,454,138,14,66,6,27,3,88,22,8,0.344,0.474,0.818,5.53,5.36,2009
高須　洋介,楽天,0.304,67,236,204,62,1,22,1,18,2,18,9,5,0.361,0.382,0.744,4.87,4.74,2009
青木　宣親,ヤクルト,0.303,142,624,531,161,16,66,18,75,13,65,1,9,0.4,0.444,0.844,6.69,6.55,2009
小瀬　浩之,オリックス,0.303,78,216,198,60,0,11,7,11,0,40,4,0,0.335,0.359,0.693,4.64,4.58,2009
宮出　隆自,楽天,0.303,82,168,155,47,3,21,5,9,1,26,0,6,0.339,0.406,0.746,4.87,4.88,2009
和田　一浩,中日,0.302,144,592,517,156,29,87,5,68,2,56,0,16,0.382,0.532,0.914,7.10,7.00,2009
桜井　広大,阪神,0.302,103,320,281,85,12,42,2,32,3,53,2,4,0.377,0.509,0.886,6.80,6.64,2009
塀内　久雄,ロッテ,0.302,54,108,96,29,4,10,0,8,2,31,2,2,0.368,0.469,0.837,6.11,5.93,2009
稲葉　篤紀,日本ハム,0.3,135,587,500,150,17,85,5,65,14,96,2,4,0.391,0.492,0.883,7.42,7.16,2009
石井　義人,西武,0.3,125,422,383,115,6,39,3,30,3,73,5,7,0.355,0.407,0.762,5.24,5.04,2009
天谷　宗一郎,広島,0.3,94,361,317,95,5,41,12,31,2,62,6,4,0.361,0.435,0.796,5.43,5.40,2009
相川　良太,オリックス,0.3,10,23,20,6,0,1,0,3,0,5,0,2,0.391,0.5,0.891,4.52,3.89,2009
丈武,楽天,0.3,9,21,20,6,0,3,0,1,0,5,0,1,0.333,0.5,0.833,5.25,4.59,2009
藤井　淳志,中日,0.299,114,438,401,120,10,49,15,23,1,79,11,4,0.337,0.444,0.781,5.64,5.38,2009
山崎　浩司,オリックス,0.297,97,276,246,73,3,26,2,16,2,44,11,4,0.343,0.386,0.73,4.46,4.31,2009
小谷野　栄一,日本ハム,0.296,138,581,530,157,11,82,7,27,6,95,16,21,0.336,0.436,0.772,4.76,4.54,2009
小窪　哲也,広島,0.295,70,209,183,54,2,16,2,20,2,33,4,2,0.371,0.388,0.759,5.48,5.22,2009
東出　輝裕,広島,0.294,142,625,558,164,0,26,14,44,1,39,19,5,0.345,0.351,0.696,4.52,4.38,2009
宮本　慎也,ヤクルト,0.294,128,505,469,138,5,46,3,16,4,58,12,6,0.32,0.399,0.719,4.54,4.39,2009
阿部　慎之助,巨人,0.293,123,462,409,120,32,76,1,34,10,87,2,9,0.357,0.587,0.943,7.22,7.28,2009
松本　哲也,巨人,0.293,129,424,372,109,0,15,16,21,4,59,27,8,0.338,0.328,0.665,3.66,3.51,2009
後藤　武敏,西武,0.293,54,161,147,43,5,23,0,13,0,33,0,4,0.348,0.435,0.783,5.04,5.03,2009
リンデン,楽天,0.292,73,317,284,83,12,37,2,32,1,105,0,5,0.366,0.496,0.862,6.21,5.98,2009
Ｇ．Ｇ．佐藤,西武,0.291,136,556,502,146,25,83,1,43,9,121,1,20,0.357,0.508,0.865,5.98,5.78,2009
大村　直之,オリックス,0.291,119,462,419,122,0,30,5,18,6,35,14,10,0.326,0.341,0.667,3.44,3.38,2009
ブラゼル,阪神,0.291,82,295,285,83,16,49,0,8,0,66,0,13,0.308,0.509,0.817,4.88,4.84,2009
明石　健志,ソフトバンク,0.291,48,114,103,30,1,9,6,8,0,27,2,0,0.339,0.447,0.786,6.14,5.85,2009
村田　和哉,日本ハム,0.291,44,61,55,16,0,5,8,4,0,9,2,1,0.339,0.382,0.721,5.19,4.97,2009
亀井　義行,巨人,0.29,134,547,490,142,25,71,12,45,5,74,4,7,0.354,0.51,0.864,6.37,6.26,2009
森野　将彦,中日,0.289,144,632,546,158,23,109,4,72,8,95,1,12,0.377,0.504,0.881,6.85,6.68,2009
鳥谷　敬,阪神,0.288,144,617,538,155,20,75,7,65,5,83,5,13,0.368,0.465,0.832,5.91,5.82,2009
ラロッカ,オリックス,0.287,74,291,261,75,12,43,0,17,12,36,0,4,0.357,0.487,0.844,6.37,6.22,2009
迎　祐一郎,オリックス,0.286,8,8,7,2,0,0,1,1,0,2,0,0,0.375,0.429,0.804,7.47,6.86,2009
中村　剛也,西武,0.285,128,562,501,143,48,122,3,52,7,154,0,8,0.359,0.651,1.01,8.17,8.04,2009
田中　賢介,日本ハム,0.283,144,680,575,163,3,49,31,79,5,105,17,0,0.373,0.372,0.745,5.54,5.38,2009
オーティズ,ソフトバンク,0.282,109,458,411,116,20,74,2,36,3,81,0,8,0.338,0.496,0.835,5.93,5.99,2009
金城　龍彦,横浜,0.282,118,341,312,88,9,34,1,18,5,44,5,6,0.33,0.449,0.779,5.02,4.80,2009
多村　仁志,ソフトバンク,0.282,93,338,308,87,17,57,0,22,4,66,0,11,0.334,0.51,0.844,5.58,5.60,2009
南　竜介,ロッテ,0.282,15,40,39,11,3,8,0,1,0,10,0,1,0.3,0.615,0.915,6.32,6.21,2009
井口　資仁,ロッテ,0.281,123,530,448,126,19,65,4,68,13,101,0,11,0.391,0.475,0.866,6.62,6.48,2009
松田　宣浩,ソフトバンク,0.281,46,175,160,45,8,24,1,7,1,32,7,1,0.315,0.538,0.853,5.98,5.74,2009
松中　信彦,ソフトバンク,0.279,126,521,448,125,23,80,2,62,8,77,0,11,0.374,0.48,0.854,6.32,6.25,2009
末永　真史,広島,0.279,73,170,154,43,2,19,3,15,1,48,0,1,0.347,0.383,0.73,5.10,4.92,2009
中島　俊哉,楽天,0.279,47,114,104,29,1,8,0,7,2,17,0,3,0.333,0.346,0.679,3.86,3.83,2009
大引　啓次,オリックス,0.278,107,425,349,97,5,25,3,33,8,84,34,6,0.353,0.393,0.745,4.58,4.41,2009
中田　翔,日本ハム,0.278,22,38,36,10,0,1,0,1,0,15,0,0,0.289,0.333,0.623,3.55,3.69,2009
桑原　義行,横浜,0.278,20,20,18,5,1,3,0,2,0,5,0,1,0.35,0.5,0.85,5.42,5.32,2009
米野　智人,ヤクルト,0.278,11,19,18,5,0,0,0,0,0,4,1,1,0.278,0.278,0.556,1.80,1.75,2009
廣瀬　純,広島,0.277,94,213,195,54,5,22,1,7,3,32,4,3,0.306,0.41,0.716,4.13,4.25,2009
稲田　直人,日本ハム,0.277,65,67,65,18,0,7,1,2,0,7,0,1,0.299,0.323,0.622,3.48,3.30,2009
渡辺　直人,楽天,0.276,125,547,463,128,1,28,26,55,7,69,19,13,0.36,0.343,0.703,4.48,4.38,2009
デントナ,ヤクルト,0.276,118,428,391,108,21,83,0,30,2,110,0,10,0.327,0.486,0.813,5.43,5.47,2009
ブランコ,中日,0.275,144,615,549,151,39,110,1,48,14,157,0,17,0.346,0.534,0.88,6.19,6.22,2009
大崎　雄太朗,西武,0.275,75,188,160,44,0,14,2,11,4,30,13,1,0.337,0.369,0.706,4.50,4.20,2009
村田　修一,横浜,0.274,93,369,343,94,25,69,0,21,5,80,0,7,0.325,0.545,0.87,6.08,6.02,2009
後藤　光尊,オリックス,0.274,54,219,208,57,4,17,8,8,0,36,1,4,0.298,0.389,0.688,3.97,3.93,2009
福浦　和也,ロッテ,0.273,129,460,396,108,6,39,1,46,4,65,11,8,0.352,0.364,0.716,4.65,4.61,2009
北川　博敏,オリックス,0.273,103,302,267,73,2,31,0,19,6,37,4,9,0.329,0.363,0.692,4.02,4.06,2009
前田　大輔,オリックス,0.273,19,41,33,9,0,2,0,4,0,7,4,0,0.351,0.364,0.715,3.60,3.44,2009
荒金　久雄,ソフトバンク,0.273,16,11,11,3,1,4,0,0,0,2,0,0,0.273,0.545,0.818,5.62,5.74,2009
関本　賢太郎,阪神,0.271,113,462,377,102,3,44,3,36,13,56,34,7,0.353,0.353,0.706,4.20,4.12,2009
平田　良介,中日,0.271,42,95,85,23,2,9,0,8,1,19,0,2,0.337,0.494,0.831,5.76,5.61,2009
荒木　雅博,中日,0.27,140,631,582,157,2,38,37,25,4,70,19,14,0.304,0.32,0.624,3.20,3.12,2009
福地　寿樹,ヤクルト,0.27,137,543,504,136,5,34,42,27,4,86,5,4,0.31,0.345,0.656,4.26,4.22,2009
平野　恵一,阪神,0.27,132,462,404,109,0,18,3,22,7,53,28,5,0.318,0.332,0.65,3.70,3.57,2009
中村　真人,楽天,0.27,101,353,318,86,3,25,9,22,1,32,10,5,0.318,0.352,0.67,3.90,3.85,2009
川端　慎吾,ヤクルト,0.27,30,42,37,10,0,0,0,3,0,6,2,2,0.325,0.27,0.595,2.54,2.51,2009
大松　尚逸,ロッテ,0.269,139,553,494,133,19,79,0,47,4,80,2,11,0.334,0.445,0.779,5.08,5.11,2009
藤田　一也,横浜,0.269,120,381,346,93,4,20,6,7,1,34,24,4,0.283,0.353,0.636,3.32,3.32,2009
梶本　勇介,ヤクルト,0.269,12,27,26,7,0,1,1,1,0,4,0,0,0.296,0.269,0.566,2.61,2.65,2009
脇谷　亮太,巨人,0.268,89,245,231,62,2,16,5,10,3,52,1,0,0.307,0.342,0.649,3.87,3.77,2009
栗山　巧,西武,0.267,140,643,569,152,12,57,18,53,10,106,8,9,0.339,0.394,0.732,4.85,4.80,2009
