選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
隠善　智也,巨人,1.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2015.0,1000,外野手,9,31,1984/06/05,174cm,77kg,O型,左左,広島,False
西村　弥,楽天,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2015.0,850,内野手,10,32,1983/09/08,177cm,75kg,A型,右両,沖縄,False
山川　穂高,西武,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2015.0,1200,内野手,2,24,1991/11/23,176cm,100kg,A型,右右,沖縄,False
谷内　亮太,ヤクルト,0.5,4.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.667,1.167,15.11,12.96,2015.0,1100,内野手,3,24,1991/02/03,177cm,79kg,B型,右右,石川,False
金子　圭輔,ソフトバンク,0.5,9.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.17,10.94,2015.0,1950,内野手,12,30,1985/07/23,180cm,69kg,B型,右両,千葉,False
柳田　悠岐,ソフトバンク,0.363,138.0,605.0,502.0,182.0,34.0,99.0,32.0,88.0,14.0,101.0,0.0,9.0,0.469,0.631,1.101,11.39,10.81,2015.0,9000,外野手,5,27,1988/10/09,188cm,92kg,AB型,右左,広島,False
秋山　翔吾,西武,0.359,143.0,675.0,602.0,216.0,14.0,55.0,17.0,60.0,4.0,78.0,7.0,6.0,0.419,0.522,0.941,8.04,7.57,2015.0,6200,外野手,5,27,1988/04/16,183cm,85kg,A型,右左,神奈川,False
川端　慎吾,ヤクルト,0.336,143.0,632.0,581.0,195.0,8.0,57.0,4.0,43.0,3.0,72.0,2.0,15.0,0.383,0.439,0.822,6.20,5.85,2015.0,8500,内野手,10,28,1987/10/16,185cm,86kg,O型,右左,大阪,False
カニザレス,ソフトバンク,0.333,14.0,36.0,33.0,11.0,1.0,3.0,0.0,3.0,0.0,5.0,0.0,1.0,0.389,0.455,0.843,6.49,6.21,2015.0,6000,内野手,2,36,1979/11/21,190cm,109kg,不明,右右,キューバ,True
山田　哲人,ヤクルト,0.329,143.0,646.0,557.0,183.0,38.0,100.0,34.0,81.0,5.0,111.0,0.0,11.0,0.416,0.61,1.027,9.56,9.19,2015.0,8000,内野手,5,23,1992/07/16,180cm,76kg,O型,右右,兵庫,False
近藤　健介,日本ハム,0.326,129.0,504.0,435.0,142.0,8.0,60.0,6.0,59.0,2.0,59.0,3.0,9.0,0.405,0.467,0.872,7.20,6.89,2015.0,1800,捕手,4,22,1993/08/09,173cm,85kg,O型,右左,千葉,False
