選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
高谷　裕亮,ソフトバンク,0.667,12,3,3,2,0,0,0,0,0,1,0,0,0.667,0.667,1.333,28.02,24.3,2011
内川　聖一,ソフトバンク,0.338,114,463,429,145,12,74,4,25,2,48,0,3,0.371,0.485,0.856,7.12,6.92,2011
下山　真二,オリックス,0.333,14,32,27,9,0,0,0,1,1,9,3,3,0.379,0.444,0.824,3.98,3.56,2011
山本　芳彦,広島,0.333,17,27,27,9,0,2,0,0,0,4,0,1,0.333,0.37,0.704,4.16,3.84,2011
深江　真登,オリックス,0.333,29,13,12,4,0,0,1,0,0,5,1,0,0.333,0.333,0.667,4.63,4.38,2011
中村　悠平,ヤクルト,0.333,13,6,6,2,0,0,0,0,0,0,0,0,0.333,0.333,0.667,4.55,4.32,2011
谷　哲也,中日,0.333,2,6,6,2,0,0,0,0,0,3,0,0,0.333,0.5,0.833,6.42,5.67,2011
岩舘　学,日本ハム,0.333,6,3,3,1,0,1,0,0,0,0,0,0,0.333,0.333,0.667,4.55,4.32,2011
糸井　嘉男,日本ハム,0.319,137,578,489,156,11,54,31,59,19,91,9,5,0.411,0.448,0.859,7.43,7.11,2011
村田　和哉,日本ハム,0.318,52,23,22,7,0,1,4,0,0,6,1,0,0.318,0.318,0.636,3.37,3.33,2011
長野　久義,巨人,0.316,140,578,519,164,17,69,19,48,6,85,3,11,0.379,0.468,0.847,6.46,6.23,2011
後藤　光尊,オリックス,0.312,130,553,526,164,8,55,14,17,5,74,0,9,0.336,0.409,0.745,5.02,4.88,2011
マートン,阪神,0.311,142,606,579,180,13,60,6,24,1,76,1,13,0.339,0.423,0.762,5.08,4.87,2011
松中　信彦,ソフトバンク,0.308,88,304,266,82,12,36,0,29,5,38,0,2,0.383,0.504,0.887,7.41,7.24,2011
栗山　巧,西武,0.307,144,653,557,171,3,60,6,73,8,90,9,17,0.391,0.384,0.776,5.6,5.45,2011
大崎　雄太朗,西武,0.306,36,86,72,22,0,5,3,7,1,8,6,2,0.375,0.361,0.736,4.99,4.69,2011
本多　雄一,ソフトバンク,0.305,144,633,522,159,0,43,60,53,1,78,53,4,0.367,0.368,0.735,5.05,4.9,2011
赤田　将吾,オリックス,0.305,77,246,226,69,0,17,0,18,0,52,2,3,0.357,0.35,0.706,4.52,4.32,2011
藤田　一也,横浜,0.303,96,208,188,57,1,15,0,10,7,20,3,3,0.361,0.372,0.733,5.09,4.84,2011
宮本　慎也,ヤクルト,0.302,136,518,474,143,2,35,2,17,6,37,19,14,0.333,0.354,0.687,3.97,3.81,2011
鳥谷　敬,阪神,0.3,144,590,500,150,5,51,16,78,4,72,3,10,0.395,0.414,0.809,6.41,6.23,2011
宮出　隆自,ヤクルト,0.3,28,45,40,12,0,3,0,5,0,7,0,0,0.378,0.325,0.703,5.32,5.15,2011
坂口　智隆,オリックス,0.297,144,651,590,175,3,45,5,54,4,77,2,11,0.359,0.369,0.729,4.9,4.71,2011
中島　裕之,西武,0.297,144,633,566,168,16,100,21,44,12,93,0,11,0.354,0.433,0.787,5.81,5.83,2011
平野　恵一,阪神,0.295,142,615,542,160,1,29,6,33,5,67,34,6,0.341,0.343,0.684,4.09,3.94,2011
栗原　健太,広島,0.293,144,596,536,157,17,87,0,40,12,84,0,11,0.351,0.442,0.793,5.6,5.54,2011
長谷川　勇也,ソフトバンク,0.293,125,455,392,115,4,34,13,47,8,87,6,2,0.379,0.388,0.766,6.03,5.81,2011
青木　宣親,ヤクルト,0.292,144,643,583,170,4,44,8,51,9,55,0,6,0.358,0.36,0.718,5.07,4.86,2011
阿部　慎之助,巨人,0.292,114,437,390,114,20,61,1,35,9,66,2,12,0.363,0.5,0.863,6.23,6.08,2011
田中　賢介,日本ハム,0.29,49,220,200,58,1,10,8,17,0,21,2,1,0.344,0.345,0.689,4.66,4.56,2011
紺田　敏正,巨人,0.289,21,40,38,11,0,1,1,2,0,6,0,0,0.325,0.316,0.641,3.28,3.22,2011
聖澤　諒,楽天,0.288,144,559,496,143,2,42,52,31,8,109,21,5,0.338,0.343,0.681,4.36,4.28,2011
堂上　剛裕,中日,0.287,64,117,108,31,1,15,0,7,2,20,0,4,0.342,0.426,0.768,4.89,4.53,2011
松田　宣浩,ソフトバンク,0.282,144,582,525,148,25,83,27,41,10,128,3,11,0.344,0.51,0.854,6.1,5.99,2011
ブラゼル,阪神,0.282,120,456,422,119,16,69,0,21,7,71,0,15,0.322,0.445,0.768,4.71,4.74,2011
