選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
山本　祐大,DeNA,1.0,2,1,1,1,1,2,0,0,0,0,0,0,1.0,4.0,5.0,∞,∞,2018
江川　智晃,ソフトバンク,0.6,5,5,5,3,1,1,0,0,0,2,0,0,0.6,1.4,2.0,37.98,33.21,2018
上本　博紀,阪神,0.422,20,53,45,19,1,6,4,6,0,8,1,1,0.481,0.556,1.036,11.35,10.71,2018
金子　一輝,西武,0.357,6,14,14,5,1,2,0,0,0,3,0,1,0.357,0.643,1.0,5.37,5.25,2018
柳田　悠岐,ソフトバンク,0.352,130,550,475,167,36,102,21,62,8,105,0,8,0.431,0.661,1.092,10.41,10.02,2018
大引　啓次,ヤクルト,0.35,47,136,123,43,5,15,0,10,0,30,3,3,0.398,0.512,0.911,6.96,6.58,2018
ビシエド,中日,0.348,135,582,512,178,26,99,3,51,15,61,0,24,0.419,0.555,0.974,7.91,7.61,2018
坂本　勇人,巨人,0.345,109,502,441,152,18,67,9,61,0,83,0,4,0.424,0.537,0.962,8.85,8.30,2018
髙橋　大樹,広島,0.333,6,16,15,5,0,0,0,1,0,4,0,1,0.375,0.4,0.775,4.71,4.32,2018
平沼　翔太,日本ハム,0.333,7,9,9,3,0,0,0,0,0,2,0,0,0.333,0.444,0.778,5.83,5.22,2018
平田　良介,中日,0.329,138,568,493,162,9,55,8,67,3,69,2,7,0.41,0.456,0.866,7.16,6.85,2018
青木　宣親,ヤクルト,0.327,127,567,495,162,10,67,3,51,19,48,0,13,0.409,0.475,0.884,7.18,6.80,2018
秋山　翔吾,西武,0.323,143,685,603,195,24,82,15,77,4,96,0,3,0.403,0.534,0.937,8.16,7.77,2018
近藤　健介,日本ハム,0.323,129,555,462,149,9,69,5,87,1,90,0,16,0.427,0.457,0.884,7.43,7.12,2018
田代　将太郎,ヤクルト,0.323,73,36,31,10,1,2,4,4,0,9,1,0,0.4,0.419,0.819,5.55,5.55,2018
北條　史也,阪神,0.322,62,266,239,77,1,20,1,19,1,32,4,7,0.37,0.377,0.747,5.12,5.00,2018
吉田　正尚,オリックス,0.321,143,598,514,165,26,86,3,69,7,74,0,9,0.403,0.553,0.956,8.27,8.02,2018
アルモンテ,中日,0.321,132,546,498,160,15,77,1,44,1,95,0,16,0.375,0.486,0.861,6.43,6.13,2018
鈴木　誠也,広島,0.32,124,520,422,135,30,94,4,88,5,116,0,4,0.438,0.618,1.057,10.02,9.75,2018
宮﨑　敏郎,DeNA,0.318,142,590,551,175,28,71,0,38,1,45,0,16,0.363,0.532,0.894,6.80,6.49,2018
雄平,ヤクルト,0.318,125,482,446,142,11,67,6,33,1,62,0,13,0.365,0.439,0.805,5.82,5.57,2018
坂口　智隆,ヤクルト,0.317,139,595,508,161,3,37,9,75,3,60,7,15,0.406,0.394,0.8,5.94,5.68,2018
牧原　大成,ソフトバンク,0.317,59,264,249,79,3,26,9,8,2,33,3,2,0.341,0.434,0.775,5.59,5.36,2018
山田　哲人,ヤクルト,0.315,140,637,524,165,34,89,33,106,4,119,0,8,0.432,0.582,1.014,9.69,9.36,2018
原口　文仁,阪神,0.315,82,124,111,35,2,19,0,8,5,27,0,1,0.387,0.387,0.774,6.08,5.86,2018
浅村　栄斗,西武,0.31,143,640,565,175,32,127,4,68,2,105,0,18,0.383,0.527,0.91,7.05,6.92,2018
ソト,DeNA,0.31,107,459,416,129,41,95,0,29,9,100,0,5,0.364,0.644,1.008,8.39,8.37,2018
岡本　和真,巨人,0.309,143,616,540,167,33,100,2,72,4,120,0,11,0.394,0.541,0.935,7.77,7.53,2018
西川　龍馬,広島,0.309,107,361,327,101,6,46,5,27,2,51,4,4,0.364,0.45,0.814,6.04,5.72,2018
糸井　嘉男,阪神,0.308,119,509,419,129,16,68,22,77,8,63,0,9,0.42,0.48,0.9,7.95,7.76,2018
小窪　哲也,広島,0.308,17,28,26,8,0,3,0,1,1,7,0,0,0.357,0.5,0.857,6.92,6.17,2018
丸　佳浩,広島,0.306,125,566,432,132,39,97,10,130,3,130,0,5,0.468,0.627,1.096,10.61,10.35,2018
會澤　翼,広島,0.305,106,377,315,96,13,42,0,39,14,56,5,6,0.401,0.492,0.893,7.27,7.11,2018
松山　竜平,広島,0.302,124,446,397,120,12,74,2,42,2,46,0,10,0.368,0.466,0.834,6.24,6.07,2018
モヤ,中日,0.301,46,101,93,28,3,16,0,6,1,25,0,1,0.347,0.441,0.787,5.48,5.41,2018
筒香　嘉智,DeNA,0.295,139,580,495,146,38,89,0,80,2,107,0,10,0.393,0.596,0.989,8.33,8.12,2018
田中　賢介,日本ハム,0.295,67,124,105,31,0,8,0,18,0,14,1,0,0.398,0.324,0.722,5.55,5.38,2018
鵜久森　淳志,ヤクルト,0.294,19,20,17,5,0,3,0,1,0,5,0,1,0.3,0.353,0.653,3.20,4.16,2018
大嶺　翔太,ロッテ,0.294,10,18,17,5,0,0,1,1,0,8,0,0,0.333,0.294,0.627,4.32,4.23,2018
西野　真弘,オリックス,0.293,60,207,188,55,0,16,7,12,0,28,6,5,0.333,0.378,0.711,4.25,4.06,2018
中村　晃,ソフトバンク,0.292,136,580,506,148,14,57,1,60,5,68,3,5,0.369,0.435,0.804,6.12,6.02,2018
井上　晴哉,ロッテ,0.292,133,548,476,139,24,99,1,63,3,106,0,7,0.374,0.506,0.88,6.99,6.94,2018
島内　宏明,楽天,0.292,103,453,394,115,11,53,11,47,6,45,3,10,0.373,0.431,0.805,5.79,5.71,2018
グラシアル,ソフトバンク,0.292,54,202,185,54,9,30,1,15,1,34,0,8,0.347,0.481,0.828,5.50,5.46,2018
長野　久義,巨人,0.29,116,426,383,111,13,52,3,41,1,69,0,5,0.359,0.433,0.793,5.80,5.65,2018
中島　宏之,オリックス,0.289,77,251,225,65,5,34,0,21,3,38,1,8,0.356,0.387,0.743,4.78,4.68,2018
ロペス,DeNA,0.288,110,459,441,127,26,77,0,16,1,58,0,12,0.314,0.517,0.831,5.54,5.44,2018
外崎　修汰,西武,0.287,119,510,453,130,18,67,25,47,3,102,6,9,0.357,0.472,0.83,5.94,5.81,2018
荻野　貴司,ロッテ,0.287,78,351,317,91,2,25,20,13,9,25,9,6,0.33,0.372,0.703,4.43,4.34,2018
小田　裕也,オリックス,0.287,90,164,143,41,2,15,10,12,3,38,3,4,0.348,0.378,0.725,4.79,4.87,2018
長谷川　勇也,ソフトバンク,0.287,55,112,101,29,5,20,0,9,1,18,0,3,0.348,0.495,0.843,5.93,5.79,2018
糸原　健斗,阪神,0.286,143,637,531,152,1,35,6,86,7,73,9,5,0.39,0.362,0.752,5.67,5.53,2018
野間　峻祥,広島,0.286,126,447,405,116,5,46,17,30,6,69,4,2,0.343,0.393,0.736,4.95,4.86,2018
亀澤　恭平,中日,0.286,110,206,185,53,0,8,5,17,1,21,3,2,0.35,0.319,0.669,4.22,4.09,2018
武内　晋一,ヤクルト,0.286,15,16,14,4,1,3,0,2,0,2,0,0,0.375,0.571,0.946,8.12,7.88,2018
