選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
村林　一輝,楽天,0.5,1,3,2,1,0,0,0,1,0,1,0,0,0.667,0.5,1.167,21.22,19.98,2017
斐紹,ソフトバンク,0.5,1,2,2,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,12.3,11.07,2017
茶谷　健太,ソフトバンク,0.5,1,2,2,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,12.3,11.07,2017
坂田　遼,西武,0.438,11,19,16,7,2,4,0,3,0,8,0,0,0.526,0.813,1.339,17.51,16.59,2017
近藤　健介,日本ハム,0.413,57,231,167,69,3,29,3,60,2,27,0,3,0.567,0.557,1.124,14.7,13.85,2017
細川　成也,DeNA,0.4,2,6,5,2,2,4,0,1,0,3,0,0,0.5,1.6,2.1,27.29,26.37,2017
白濱　裕太,広島,0.4,3,5,5,2,0,0,1,0,0,2,0,0,0.4,0.6,1.0,11.52,9.99,2017
岩本　貴裕,広島,0.375,33,50,48,18,1,13,0,1,0,15,1,2,0.388,0.521,0.909,6.86,6.25,2017
石川　駿,中日,0.353,9,17,17,6,1,1,0,0,0,5,0,0,0.353,0.529,0.882,7.38,7.14,2017
宇佐見　真吾,巨人,0.35,21,45,40,14,4,8,0,3,2,14,0,0,0.422,0.65,1.072,10.66,10.4,2017
森　友哉,西武,0.339,38,145,124,42,2,18,3,21,0,24,0,4,0.434,0.5,0.934,8.13,7.63,2017
庄司　隼人,広島,0.333,6,6,3,1,0,0,0,1,0,1,2,0,0.5,0.333,0.833,5.14,4.93,2017
牧原　大成,ソフトバンク,0.333,10,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.667,4.55,4.32,2017
大谷　翔平,日本ハム,0.332,65,231,202,67,8,31,0,24,2,63,0,0,0.403,0.54,0.942,8.44,8.17,2017
松山　竜平,広島,0.326,120,387,350,114,14,77,0,31,0,45,0,8,0.375,0.534,0.909,7.26,7.08,2017
宮﨑　敏郎,DeNA,0.323,128,523,480,155,15,62,0,38,4,47,0,23,0.377,0.479,0.856,6.08,5.78,2017
秋山　翔吾,西武,0.322,143,659,575,185,25,89,16,72,5,97,0,4,0.398,0.536,0.933,8.2,7.96,2017
鶴岡　慎也,ソフトバンク,0.321,29,32,28,9,3,5,0,3,0,3,1,1,0.387,0.643,1.03,8.13,8.07,2017
マギー,巨人,0.315,139,586,523,165,18,77,4,58,1,107,0,20,0.382,0.514,0.897,6.79,6.46,2017
大島　洋平,中日,0.313,119,521,476,149,3,29,23,37,4,66,1,5,0.365,0.387,0.752,5.64,5.43,2017
吉田　正尚,オリックス,0.311,64,268,228,71,12,38,1,38,1,32,0,9,0.41,0.518,0.928,7.41,7.2,2017
柳田　悠岐,ソフトバンク,0.31,130,551,448,139,31,99,14,89,7,123,0,6,0.426,0.589,1.016,9.17,8.99,2017
安部　友裕,広島,0.31,123,455,413,128,4,49,17,27,2,94,12,3,0.354,0.4,0.754,5.38,5.14,2017
俊介,阪神,0.309,74,202,191,59,4,23,1,9,0,33,2,1,0.34,0.461,0.801,5.95,5.58,2017
丸　佳浩,広島,0.308,143,651,556,171,23,92,13,83,4,113,2,6,0.398,0.505,0.903,7.7,7.52,2017
雄平,ヤクルト,0.306,71,300,281,86,2,32,2,12,5,42,0,5,0.343,0.402,0.745,4.93,4.7,2017
ロペス,DeNA,0.301,142,606,569,171,30,105,0,27,2,80,0,14,0.33,0.533,0.863,6.13,6.05,2017
鈴木　誠也,広島,0.3,115,512,437,131,26,90,16,62,6,80,0,12,0.389,0.547,0.936,7.44,7.4,2017
オコエ　瑠偉,楽天,0.3,41,141,130,39,3,11,5,3,3,38,5,3,0.331,0.5,0.831,5.48,5.07,2017
山川　穂高,西武,0.298,78,293,242,72,23,61,0,46,5,72,0,7,0.42,0.661,1.081,9.42,9.14,2017
内川　聖一,ソフトバンク,0.297,73,300,266,79,12,50,0,32,0,26,0,9,0.37,0.481,0.851,6.13,6.05,2017
西川　遥輝,日本ハム,0.296,138,623,541,160,9,44,39,69,4,103,6,6,0.378,0.416,0.794,6.37,6.17,2017
茂木　栄五郎,楽天,0.296,103,450,398,118,17,47,3,45,2,84,4,4,0.37,0.497,0.867,6.77,6.54,2017
武田　健吾,オリックス,0.295,97,219,207,61,2,14,0,5,3,47,4,3,0.321,0.362,0.683,4.14,3.95,2017
銀次,楽天,0.293,143,590,529,155,3,60,2,56,2,74,1,11,0.362,0.367,0.728,4.99,4.79,2017
鳥谷　敬,阪神,0.293,143,570,488,143,4,41,8,77,2,62,1,13,0.39,0.377,0.767,5.46,5.29,2017
新井　貴浩,広島,0.292,100,288,243,71,9,48,2,40,1,56,0,7,0.389,0.461,0.85,6.55,6.54,2017
浅村　栄斗,西武,0.291,143,633,574,167,19,99,5,44,8,96,1,17,0.347,0.453,0.799,5.47,5.39,2017
坂本　勇人,巨人,0.291,142,614,539,157,15,61,14,68,3,85,1,16,0.372,0.43,0.802,5.69,5.55,2017
田中　広輔,広島,0.29,143,679,565,164,8,60,35,89,15,120,6,5,0.398,0.407,0.805,6.41,6.26,2017
坂口　智隆,ヤクルト,0.29,136,607,535,155,4,38,4,59,5,76,5,6,0.364,0.35,0.713,4.95,4.86,2017
糸井　嘉男,阪神,0.29,114,493,427,124,17,62,21,59,5,62,0,12,0.381,0.447,0.829,6.23,6.16,2017
