選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
船越　涼太,広島,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2016.0,800,捕手,1,23,1993/11/26,178cm,83kg,O型,右右,千葉,False
水口　大地,西武,0.5,20.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.21,10.98,2016.0,500,内野手,4,27,1989/06/28,163cm,60kg,A型,右左,長崎,False
廣岡　大志,ヤクルト,0.429,2.0,7.0,7.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.429,0.857,1.286,14.63,13.91,2016.0,600,内野手,1,19,1997/04/09,183cm,81kg,O型,右右,大阪,False
岡　大海,日本ハム,0.374,41.0,154.0,131.0,49.0,2.0,12.0,9.0,15.0,4.0,27.0,3.0,4.0,0.45,0.473,0.924,8.52,8.04,2016.0,1800,外野手,3,25,1991/07/15,185cm,83kg,B型,右右,岡山,False
赤松　真人,広島,0.368,89.0,21.0,19.0,7.0,0.0,3.0,12.0,2.0,0.0,4.0,0.0,0.0,0.429,0.526,0.955,11.04,10.32,2016.0,3300,外野手,12,34,1982/09/06,182cm,75kg,O型,右右,京都,False
牧田　明久,楽天,0.355,16.0,34.0,31.0,11.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.394,0.419,0.813,4.64,4.20,2016.0,2700,外野手,16,34,1982/06/03,182cm,78kg,A型,右右,福井,False
坂本　勇人,巨人,0.344,137.0,576.0,488.0,168.0,23.0,75.0,13.0,81.0,0.0,67.0,1.0,6.0,0.433,0.555,0.988,9.40,9.07,2016.0,25000,内野手,10,28,1988/12/14,186cm,83kg,AB型,右右,兵庫,False
角中　勝也,ロッテ,0.339,143.0,607.0,525.0,178.0,8.0,69.0,12.0,68.0,6.0,64.0,2.0,8.0,0.417,0.461,0.877,7.62,7.28,2016.0,8000,外野手,10,29,1987/05/25,180cm,85kg,A型,右左,石川,False
鈴木　誠也,広島,0.335,129.0,528.0,466.0,156.0,29.0,95.0,16.0,53.0,3.0,79.0,3.0,10.0,0.404,0.612,1.015,8.51,8.22,2016.0,1700,外野手,4,22,1994/08/18,181cm,87kg,A型,右右,東京都,True
岩本　貴裕,広島,0.333,27.0,22.0,21.0,7.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.364,0.524,0.887,7.43,6.75,2016.0,1500,外野手,8,30,1986/04/18,182cm,96kg,A型,左左,広島,False
嶺井　博希,DeNA,0.333,11.0,17.0,15.0,5.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.412,0.4,0.812,5.59,5.18,2016.0,1500,捕手,3,25,1991/06/04,175cm,85kg,B型,右両,沖縄,False
松井　淳,ヤクルト,0.333,2.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6,0.333,0.933,13.59,13.50,2016.0,890,外野手,7,29,1987/11/27,177cm,88kg,O型,右左,神奈川,False
飯山　裕志,日本ハム,0.333,36.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.333,0.667,1.0,8.40,7.02,2016.0,2450,内野手,19,37,1979/07/13,178cm,78kg,B型,右右,鹿児島,False
渡邉　諒,日本ハム,0.333,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.333,1.667,16.85,17.01,2016.0,700,内野手,3,21,1995/04/30,178cm,78kg,B型,右右,茨城,False
筒香　嘉智,DeNA,0.322,133.0,561.0,469.0,151.0,44.0,110.0,0.0,87.0,3.0,105.0,0.0,6.0,0.43,0.68,1.11,10.60,10.27,2016.0,10000,外野手,7,25,1991/11/26,185cm,97kg,A型,右左,和歌山,False
大谷　翔平,日本ハム,0.322,104.0,382.0,323.0,104.0,22.0,67.0,7.0,54.0,1.0,98.0,0.0,7.0,0.416,0.588,1.004,8.88,8.70,2016.0,20000,投手,4,22,1994/07/05,193cm,92kg,B型,右左,岩手,False
菊池　涼介,広島,0.315,141.0,640.0,574.0,181.0,13.0,56.0,13.0,40.0,0.0,106.0,23.0,3.0,0.358,0.432,0.79,5.77,5.58,2016.0,8500,内野手,5,26,1990/03/11,171cm,69kg,A型,右右,東京都,True
西川　遥輝,日本ハム,0.314,138.0,593.0,493.0,155.0,5.0,43.0,41.0,73.0,3.0,113.0,22.0,0.0,0.405,0.398,0.802,6.89,6.64,2016.0,6200,内野手,6,24,1992/04/16,179cm,76kg,A型,右左,和歌山,False
福留　孝介,阪神,0.311,131.0,523.0,453.0,141.0,11.0,59.0,0.0,61.0,3.0,78.0,0.0,6.0,0.392,0.453,0.845,6.84,6.67,2016.0,20000,外野手,13,39,1977/04/26,182cm,92kg,B型,右左,鹿児島,False
阿部　慎之助,巨人,0.31,91.0,387.0,335.0,104.0,12.0,52.0,0.0,44.0,4.0,55.0,1.0,8.0,0.394,0.457,0.85,6.64,6.53,2016.0,32600,内野手,16,37,1979/03/20,180cm,97kg,A型,右左,千葉,False
浅村　栄斗,西武,0.309,143.0,611.0,557.0,172.0,24.0,82.0,8.0,38.0,7.0,108.0,3.0,18.0,0.357,0.51,0.867,6.10,5.97,2016.0,10000,内野手,8,26,1990/11/12,182cm,93kg,O型,右右,大阪,False
渡辺　直人,西武,0.309,70.0,207.0,181.0,56.0,0.0,16.0,1.0,10.0,3.0,20.0,11.0,5.0,0.352,0.348,0.7,4.29,4.20,2016.0,5200,内野手,10,36,1980/10/15,173cm,73kg,AB型,右右,茨城,False
上本　達之,西武,0.307,67.0,98.0,88.0,27.0,1.0,12.0,0.0,8.0,0.0,23.0,1.0,2.0,0.361,0.386,0.747,4.87,4.79,2016.0,1100,捕手,14,36,1980/11/08,186cm,96kg,B型,右左,山口,False
